@relation NewRelation
@attribute ano numeric
@attribute dia_semana {domingo,quarta-feira,quinta-feira,segunda-feira,sexta-feira,sábado,terça-feira}
@attribute uf {PB,PE,RN}
@attribute br numeric
@attribute municipio {'JOAO PESSOA',NATAL,RECIFE}
@attribute classificacao {'Com Vítimas Fatais','Com Vítimas Feridas','Sem Vítimas'}
@attribute fase_dia {Amanhecer,Anoitecer,'Plena Noite','Pleno dia'}
@attribute tempo {Chuva,'Céu Claro',Garoa/Chuvisco,Nublado,Sol}
@attribute tipo_pista {Dupla,Múltipla,Simples}
@attribute tracado {Curva,'Desvio Temporário','Interseção de vias','Não Informado',Ponte,Reta,Rotatória,Viaduto}
@attribute total_pessoas numeric
@attribute mortos numeric
@attribute feridos numeric
@attribute Risco {Alto,Baixo,Medio,'Muito Alto',Nulo}
@data
2018,domingo,PE,101,RECIFE,'Com Vítimas Feridas','Plena Noite',Nublado,Dupla,Reta,2,0,1,Medio
2018,domingo,RN,101,NATAL,'Com Vítimas Feridas','Plena Noite','Céu Claro',Dupla,Reta,2,0,1,Medio
2018,quinta-feira,RN,101,NATAL,'Com Vítimas Feridas',Anoitecer,Chuva,Dupla,Reta,2,0,1,Medio
2018,quinta-feira,PE,101,RECIFE,'Com Vítimas Feridas','Plena Noite','Céu Claro',Dupla,Reta,2,0,1,Medio
2018,quinta-feira,PE,101,RECIFE,'Com Vítimas Feridas','Plena Noite',Nublado,Simples,Reta,2,0,1,Medio
2018,sexta-feira,PE,101,RECIFE,'Com Vítimas Feridas','Plena Noite',Nublado,Dupla,Reta,2,0,1,Medio
2018,sábado,PE,232,RECIFE,'Com Vítimas Feridas','Pleno dia','Céu Claro',Dupla,Reta,1,0,1,Medio
2018,sábado,PB,230,'JOAO PESSOA','Com Vítimas Feridas','Pleno dia','Céu Claro',Dupla,Curva,2,0,2,Medio
2018,sábado,RN,101,NATAL,'Com Vítimas Feridas','Pleno dia','Céu Claro',Dupla,Reta,2,0,1,Medio
2018,sábado,RN,101,NATAL,'Com Vítimas Feridas','Plena Noite','Céu Claro',Dupla,Reta,2,0,1,Medio
2018,terça-feira,PB,101,'JOAO PESSOA','Sem Vítimas','Plena Noite','Céu Claro',Dupla,Reta,1,0,0,Nulo
2018,sexta-feira,PB,230,'JOAO PESSOA','Sem Vítimas','Pleno dia','Céu Claro',Dupla,Reta,3,0,0,Nulo
2018,sexta-feira,RN,406,NATAL,'Sem Vítimas','Pleno dia','Céu Claro',Dupla,Reta,2,0,0,Nulo
2018,sábado,PB,230,'JOAO PESSOA','Sem Vítimas','Pleno dia','Céu Claro',Dupla,Reta,1,0,0,Nulo
2018,sábado,PE,101,RECIFE,'Sem Vítimas','Pleno dia',Sol,Múltipla,Reta,1,0,0,Nulo
2018,sábado,PE,101,RECIFE,'Sem Vítimas',Anoitecer,Nublado,Múltipla,'Interseção de vias',2,0,0,Nulo
2018,sábado,PE,232,RECIFE,'Sem Vítimas','Plena Noite','Céu Claro',Dupla,Reta,1,0,0,Nulo
2018,terça-feira,PE,101,RECIFE,'Sem Vítimas','Pleno dia','Céu Claro',Múltipla,Reta,4,0,0,Nulo
2018,quarta-feira,PE,101,RECIFE,'Sem Vítimas','Plena Noite','Céu Claro',Dupla,Reta,1,0,0,Nulo
2018,quarta-feira,PE,101,RECIFE,'Sem Vítimas','Pleno dia',Chuva,Dupla,Reta,4,0,0,Nulo
2018,quarta-feira,PE,232,RECIFE,'Sem Vítimas','Pleno dia',Chuva,Simples,Viaduto,3,0,0,Nulo
2018,quinta-feira,PE,101,RECIFE,'Sem Vítimas','Pleno dia','Céu Claro',Dupla,'Não Informado',3,0,0,Nulo
2018,sábado,PB,230,'JOAO PESSOA','Sem Vítimas','Pleno dia','Céu Claro',Dupla,Curva,1,0,0,Nulo
2018,domingo,PE,101,RECIFE,'Sem Vítimas','Pleno dia','Céu Claro',Dupla,Reta,2,0,0,Nulo
2018,quarta-feira,PE,232,RECIFE,'Sem Vítimas','Plena Noite','Céu Claro',Dupla,Reta,2,0,0,Nulo
2018,quinta-feira,PE,101,RECIFE,'Sem Vítimas','Pleno dia',Sol,Dupla,Reta,1,0,0,Nulo
2018,domingo,PE,101,RECIFE,'Sem Vítimas','Pleno dia','Céu Claro',Dupla,'Não Informado',3,0,0,Nulo
2018,domingo,PB,230,'JOAO PESSOA','Sem Vítimas','Plena Noite',Nublado,Dupla,'Não Informado',2,0,0,Nulo
2018,domingo,PE,101,RECIFE,'Sem Vítimas','Plena Noite','Céu Claro',Dupla,Reta,1,0,0,Nulo
2018,segunda-feira,PE,101,RECIFE,'Sem Vítimas','Pleno dia',Sol,Simples,Reta,2,0,0,Nulo
2018,segunda-feira,PE,232,RECIFE,'Sem Vítimas','Plena Noite',Nublado,Dupla,Reta,2,0,0,Nulo
2018,terça-feira,PE,101,RECIFE,'Sem Vítimas','Pleno dia',Nublado,Dupla,Reta,4,0,0,Nulo
2018,quinta-feira,PB,230,'JOAO PESSOA','Sem Vítimas','Pleno dia','Céu Claro',Dupla,Reta,3,0,0,Nulo
2018,quinta-feira,PE,101,RECIFE,'Sem Vítimas','Pleno dia',Sol,Dupla,Viaduto,3,0,0,Nulo
2018,sexta-feira,PE,232,RECIFE,'Sem Vítimas','Pleno dia','Céu Claro',Dupla,Reta,3,0,0,Nulo
2018,sexta-feira,PE,101,RECIFE,'Sem Vítimas','Plena Noite',Garoa/Chuvisco,Simples,'Desvio Temporário',3,0,0,Nulo
2018,segunda-feira,PE,232,RECIFE,'Sem Vítimas','Plena Noite','Céu Claro',Múltipla,Viaduto,4,0,0,Nulo
2018,quinta-feira,PE,101,RECIFE,'Sem Vítimas','Pleno dia',Nublado,Simples,'Não Informado',3,0,0,Nulo
2018,sábado,PB,230,'JOAO PESSOA','Sem Vítimas','Plena Noite','Céu Claro',Dupla,Curva,1,0,0,Nulo
2018,domingo,RN,101,NATAL,'Sem Vítimas','Plena Noite','Céu Claro',Múltipla,Reta,1,0,0,Nulo
2018,sábado,PE,101,RECIFE,'Sem Vítimas',Anoitecer,'Céu Claro',Múltipla,Reta,3,0,0,Nulo
2018,segunda-feira,PB,230,'JOAO PESSOA','Sem Vítimas','Pleno dia','Céu Claro',Dupla,Curva,1,0,0,Nulo
2018,terça-feira,PB,230,'JOAO PESSOA','Sem Vítimas','Pleno dia',Chuva,Dupla,Reta,1,0,0,Nulo
2018,terça-feira,RN,101,NATAL,'Sem Vítimas','Pleno dia','Céu Claro',Dupla,Reta,3,0,0,Nulo
2018,quinta-feira,RN,101,NATAL,'Sem Vítimas','Pleno dia','Céu Claro',Dupla,Reta,3,0,0,Nulo
2018,sábado,RN,101,NATAL,'Sem Vítimas','Pleno dia',Chuva,Dupla,Ponte,4,0,0,Nulo
